# Data taken from: 2001.09520
# Columns are:
#   1. Lower bin edge (GeV)
#   2. Upper bin edge (GeV)
#   3. E^2 d^2Phi/dEdOmega (GeV cm^-2 s^-1 sr^-1)
#   4. Upper error bar (GeV cm^-2 s^-1 sr^-1)
#   5. Lower error bar (GeV cm^-2 s^-1 sr^-1)
5003.694432154379,10000.00000000004,3.181396515358574e-8,5.407347662388674e-8,1.0621308186910903e-8
10000.00000000004,21614.82745574983,3.3790592854387705e-8,4.248858336762821e-8,2.31139593708611e-8
21614.82745574983,46113.6806077092,4.431970476035021e-8,5.374851776880181e-8,3.654493763890816e-8
46113.6806077092,100327.14175907518,1.929035917998984e-8,2.5918661240102715e-8,1.4185101925968848e-8
100327.14175907518,215443.46900318866,2.0000788639653987e-8,2.5918661240102715e-8,1.5066433921845855e-8
215443.46900318866,462645.3771362347,0.0,1.720291701045573e-9,0.0
462645.3771362347,1000000,5.472930023106661e-10,5.472930023106661e-10,4.024501020799754e-10
1000000,2147409.6164381215,1.0880509053506433e-8,1.0880509053506433e-8,5.3748517768802134e-9
2147409.6164381215,4641588.833612773,0.0,4.8806950722409846e-9,0.0
4641588.833612773,10098463.943026919,0.0,1.435714421535237e-9,0.0
10098463.943026919,21404074.4985528,0.0,7.670377774013305e-9,0.0
21404074.4985528,46567734.089720905,0.0,1.3517303106829438e-8,0.0
46567734.089720905,98702065.5129881,0.0,2.6233012581444795e-8,0.0
